Predator,Prey,Human.Disturbance,Effect.of.Predator.Presence.on.Prey,p.value
Puma concolor,Odocoileus virginianus,low,0.004568247521992994,0.9812065716027462
Puma concolor,Odocoileus virginianus,high,-0.17760637625519238,0.5681242826665942
Puma concolor,Odocoileus hemionus,low,-0.06140509979726607,0.613195113033757
Puma concolor,Odocoileus hemionus,high,0.29311585842657406,0.048757610433194834
Puma concolor,Cervus canadensis,low,0.39641917887462746,0.02118705544756119
Puma concolor,Cervus canadensis,high,0.4942177134364648,0.018469001399300654
Puma concolor,Alces alces,low,0.17014816583584885,0.6458114604363643
Puma concolor,Alces alces,high,0.4832648514120794,0.2764992508634905
Puma concolor,Canis latrans,low,0.004804250721449426,0.9629715566782285
Puma concolor,Canis latrans,high,0.01766933792634107,0.8907150024567957
Puma concolor,Lynx rufus,low,0.48542197686696964,6.000195757968672e-5
Puma concolor,Lynx rufus,high,0.24694663872554115,0.18304917866933526
Puma concolor,Procyon lotor,low,0.01720150106727603,0.9411460700840856
Puma concolor,Procyon lotor,high,-0.41047620191426126,0.13422500360024942
Puma concolor,Vulpes vulpes,low,0.14059215086691962,0.7262994082734819
Puma concolor,Vulpes vulpes,high,0.3703974345620267,0.047295797286230436
Puma concolor,Mephitis mephitis,low,0.39867816339841244,1.513388736824853e-4
Puma concolor,Mephitis mephitis,high,0.6108968008089506,1.2122259380911066e-5
Canis lupus,Odocoileus virginianus,low,0.03778339292895039,0.9298815947306315
Canis lupus,Odocoileus virginianus,high,-0.3125893522361629,0.5016193718919265
Canis lupus,Odocoileus hemionus,low,-0.20616230480980155,0.5019397035730084
Canis lupus,Odocoileus hemionus,high,0.4472199316860264,0.27900323363726814
Canis lupus,Cervus canadensis,low,3.475419898657894,0.04555110944109657
Canis lupus,Cervus canadensis,high,1.2258518416272373,0.04247076141239462
Canis lupus,Alces alces,low,-0.060407155423685265,0.8355711207121529
Canis lupus,Alces alces,high,0.20439204034049388,0.6037015614540846
Canis lupus,Canis latrans,low,0.04380186672217808,0.7709595811759754
Canis lupus,Canis latrans,high,0.4324636035808491,0.018198446344127414
Canis lupus,Lynx rufus,low,0.18127597615816732,0.5486647218709466
Canis lupus,Lynx rufus,high,0.34299855724645506,0.3368354714124336
Canis lupus,Procyon lotor,low,-0.1665923307989254,0.578213278348279
Canis lupus,Procyon lotor,high,0.17676117674965117,0.4017473360585761
Canis lupus,Vulpes vulpes,low,0.5814398604439246,0.03063699565104593
Canis lupus,Vulpes vulpes,high,0.31134657777265595,0.1244100862042477
Canis lupus,Mephitis mephitis,low,-0.0652302098344585,0.8443165995236581
Canis lupus,Mephitis mephitis,high,-0.2376538647293199,0.39736537019185447
